Data,RMD_A401,RMD_A403,RMD_A415,RMDM,RMDM_Norm
2002-04-18,5.7,8.6,0.0,8.6,0.3138075313807532
2002-04-19,9.5,11.4,0.0,11.4,0.4309623430962344
2002-04-20,7.5,11.3,0.0,11.3,0.4267782426778243
2002-04-21,10.3,12.7,0.0,12.7,0.48535564853556484
2002-04-22,9.5,15.3,0.0,15.3,0.594142259414226
2002-04-23,9.7,17.5,0.0,17.5,0.6861924686192469
2002-04-24,8.8,17.8,0.0,17.8,0.6987447698744771
2002-04-25,9.0,11.3,0.0,11.3,0.4267782426778243
2002-04-26,10.7,10.3,0.0,10.7,0.401673640167364
2002-04-27,6.4,11.4,0.0,11.4,0.4309623430962344
2002-04-28,6.5,9.1,0.0,9.1,0.3347280334728034
2002-04-29,6.4,8.8,0.0,8.8,0.3221757322175733
2002-04-30,5.3,10.2,0.0,10.2,0.3807531380753138
2002-05-01,6.3,8.9,0.0,8.9,0.32635983263598334
2002-05-02,5.0,11.1,0.0,11.1,0.4184100418410042
2002-05-03,7.4,10.566666666666666,0.0,10.566666666666666,0.396094839609484
2002-05-04,5.4,10.275677710843372,0.0,10.275677710843372,0.38391956949135453
2002-05-05,7.0,9.5,0.0,9.5,0.35146443514644354
2002-05-06,8.6,18.0,0.0,18.0,0.7071129707112971
2002-05-07,6.9,10.1,0.0,10.1,0.3765690376569038
2002-05-08,6.7,15.3,0.0,15.3,0.594142259414226
2002-05-09,6.4,9.3,0.0,9.3,0.3430962343096235
2002-05-10,7.9,10.4,0.0,10.4,0.38912133891213396
2002-05-11,9.6,16.3,0.0,16.3,0.6359832635983265
2002-05-12,7.7,15.9,0.0,15.9,0.6192468619246863
2002-05-13,8.6,14.4,0.0,14.4,0.5564853556485356
2002-05-14,14.4,18.5,0.0,18.5,0.7280334728033473
2002-05-15,9.4,15.5,0.0,15.5,0.602510460251046
2002-05-16,5.1,7.9,0.0,7.9,0.28451882845188287
2002-05-17,5.3,7.5,0.0,7.5,0.2677824267782427
2002-05-18,5.7,8.9,0.0,8.9,0.32635983263598334
2002-05-19,6.5,8.2,0.0,8.2,0.29707112970711297
2002-05-20,5.0,8.9,0.0,8.9,0.32635983263598334
2002-05-21,7.4,9.2,0.0,9.2,0.3389121338912134
2002-05-22,11.8,10.1,0.0,11.8,0.44769874476987453
2002-05-23,6.6,14.6,0.0,14.6,0.5648535564853556
2002-05-24,6.8,17.5,0.0,17.5,0.6861924686192469
2002-05-25,7.5,15.9,0.0,15.9,0.6192468619246863
2002-05-26,9.3,16.3,0.0,16.3,0.6359832635983265
2002-05-27,5.6,14.4,0.0,14.4,0.5564853556485356
2002-05-28,6.5,12.6,0.0,12.6,0.48117154811715485
2002-05-29,5.6,7.1,0.0,7.1,0.2510460251046025
2002-05-30,10.3,9.5,0.0,10.3,0.3849372384937239
2002-05-31,6.3,14.2,0.0,14.2,0.5481171548117154
2002-06-01,5.1,14.9,0.0,14.9,0.5774058577405858
2002-06-02,5.3,11.9,0.0,11.9,0.4518828451882846
2002-06-03,4.9,16.9,0.0,16.9,0.6610878661087867
2002-06-04,4.9,11.1,0.0,11.1,0.4184100418410042
2002-06-05,6.1,9.3,0.0,9.3,0.3430962343096235
2002-06-06,6.5,14.2,0.0,14.2,0.5481171548117154
2002-06-07,9.5,9.8,0.0,9.8,0.3640167364016737
2002-06-08,10.5,12.9,0.0,12.9,0.49372384937238506
2002-06-09,7.6,15.4,0.0,15.4,0.598326359832636
2002-06-10,8.1,16.1,0.0,16.1,0.6276150627615065
2002-06-11,6.4,13.8,0.0,13.8,0.5313807531380754
2002-06-12,6.9,14.2,0.0,14.2,0.5481171548117154
2002-06-13,12.4,10.4,0.0,12.4,0.47280334728033485
2002-06-14,8.8,15.0,0.0,15.0,0.5815899581589958
2002-06-15,11.7,13.4,0.0,13.4,0.5146443514644352
2002-06-16,8.0,15.6,0.0,15.6,0.606694560669456
2002-06-17,9.8,12.3,0.0,12.3,0.46861924686192474
2002-06-18,11.3,12.5,0.0,12.5,0.47698744769874485
2002-06-19,8.2,13.4,0.0,13.4,0.5146443514644352
2002-06-20,6.6,14.9,0.0,14.9,0.5774058577405858
2002-06-21,7.4,15.3,0.0,15.3,0.594142259414226
2002-06-22,7.8,14.7,0.0,14.7,0.5690376569037656
2002-06-23,8.4,15.7,0.0,15.7,0.6108786610878663
2002-06-24,5.7,14.9,0.0,14.9,0.5774058577405858
2002-06-25,6.0,11.7,0.0,11.7,0.4435146443514645
2002-06-26,7.2,15.0,0.0,15.0,0.5815899581589958
2002-06-27,9.3,17.4,0.0,17.4,0.6820083682008369
2002-06-28,10.1,15.6,0.0,15.6,0.606694560669456
2002-06-29,8.4,16.0,0.0,16.0,0.6234309623430963
2002-06-30,6.9,14.9,0.0,14.9,0.5774058577405858
2002-07-01,7.0,15.1,0.0,15.1,0.5857740585774058
2002-07-02,7.0,14.1,0.0,14.1,0.5439330543933054
2002-07-03,7.3,14.9,0.0,14.9,0.5774058577405858
2002-07-04,9.8,15.2,0.0,15.2,0.5899581589958158
2002-07-05,10.3,18.8,0.0,18.8,0.7405857740585775
2002-07-06,6.0,14.3,0.0,14.3,0.5523012552301256
2002-07-07,7.6,5.8,0.0,7.6,0.2719665271966527
2002-07-08,6.1,9.1,0.0,9.1,0.3347280334728034
2002-07-09,5.8,10.4,0.0,10.4,0.38912133891213396
2002-07-10,9.7,14.5,0.0,14.5,0.5606694560669456
2002-07-11,9.1,13.1,0.0,13.1,0.502092050209205
2002-07-12,5.4,10.6,0.0,10.6,0.397489539748954
2002-07-13,4.9,7.5,0.0,7.5,0.2677824267782427
2002-07-14,6.9,7.8,0.0,7.8,0.2803347280334728
2002-07-15,8.6,12.2,0.0,12.2,0.46443514644351463
2002-07-16,11.3,13.7,0.0,13.7,0.5271966527196652
2002-07-17,9.3,11.6,0.0,11.6,0.43933054393305443
2002-07-18,8.7,9.7,0.0,9.7,0.3598326359832636
2002-07-19,7.7,14.0,0.0,14.0,0.5397489539748954
2002-07-20,8.6,17.9,0.0,17.9,0.7029288702928871
2002-07-21,6.9,17.0,0.0,17.0,0.6652719665271967
2002-07-22,9.4,7.2,0.0,9.4,0.34728033472803355
2002-07-23,6.7,11.5,0.0,11.5,0.4351464435146444
2002-07-24,7.8,15.6,0.0,15.6,0.606694560669456
2002-07-25,12.0,12.9,0.0,12.9,0.49372384937238506
2002-07-26,9.635899322931998,12.4,0.0,12.4,0.47280334728033485
2002-07-27,9.635899322931998,11.4,0.0,11.4,0.4309623430962344
2002-07-28,9.635899322931998,8.2,0.0,9.635899322931998,0.3571505992858577
2002-07-29,9.635899322931998,11.9,0.0,11.9,0.4518828451882846
2002-07-30,9.635899322931998,16.3,0.0,16.3,0.6359832635983265
2002-07-31,9.635899322931998,15.6,0.0,15.6,0.606694560669456
2002-08-01,9.635899322931998,8.3,0.0,9.635899322931998,0.3571505992858577
2002-08-02,9.635899322931998,7.5,0.0,9.635899322931998,0.3571505992858577
2002-08-03,9.635899322931998,8.1,0.0,9.635899322931998,0.3571505992858577
2002-08-04,9.635899322931998,7.9,0.0,9.635899322931998,0.3571505992858577
2002-08-05,9.635899322931998,8.6,0.0,9.635899322931998,0.3571505992858577
2002-08-06,9.635899322931998,8.6,0.0,9.635899322931998,0.3571505992858577
2002-08-07,9.635899322931998,12.4,0.0,12.4,0.47280334728033485
2002-08-08,9.635899322931998,12.4,0.0,12.4,0.47280334728033485
2002-08-09,9.635899322931998,14.2,0.0,14.2,0.5481171548117154
2002-08-10,9.635899322931998,13.5,0.0,13.5,0.5188284518828452
2002-08-11,9.635899322931998,13.2,0.0,13.2,0.506276150627615
2002-08-12,9.635899322931998,15.8,0.0,15.8,0.6150627615062763
2002-08-13,9.635899322931998,10.3,0.0,10.3,0.3849372384937239
2002-08-14,9.635899322931998,11.2,0.0,11.2,0.4225941422594142
2002-08-15,9.635899322931998,13.0,0.0,13.0,0.49790794979079506
2002-08-16,9.635899322931998,15.8,0.0,15.8,0.6150627615062763
2002-08-17,9.635899322931998,11.9,0.0,11.9,0.4518828451882846
2002-08-18,9.635899322931998,14.5,0.0,14.5,0.5606694560669456
2002-08-19,9.635899322931998,15.4,0.0,15.4,0.598326359832636
2002-08-20,9.635899322931998,18.8,0.0,18.8,0.7405857740585775
2002-08-21,9.635899322931998,15.0,0.0,15.0,0.5815899581589958
2002-08-22,9.635899322931998,14.9,0.0,14.9,0.5774058577405858
2002-08-23,9.635899322931998,15.5,0.0,15.5,0.602510460251046
2002-08-24,9.635899322931998,15.6,0.0,15.6,0.606694560669456
2002-08-25,9.635899322931998,14.8,0.0,14.8,0.5732217573221758
2002-08-26,9.635899322931998,10.4,0.0,10.4,0.38912133891213396
2002-08-27,9.635899322931998,15.6,0.0,15.6,0.606694560669456
2002-08-28,9.635899322931998,14.2,0.0,14.2,0.5481171548117154
2002-08-29,9.635899322931998,11.9,0.0,11.9,0.4518828451882846
2002-08-30,9.635899322931998,10.8,0.0,10.8,0.4058577405857741
2002-08-31,9.635899322931998,8.9,0.0,9.635899322931998,0.3571505992858577
2002-09-01,9.635899322931998,10.2,0.0,10.2,0.3807531380753138
2002-09-02,9.635899322931998,14.9,0.0,14.9,0.5774058577405858
2002-09-03,9.635899322931998,12.8,0.0,12.8,0.48953974895397495
2002-09-04,9.635899322931998,10.8,0.0,10.8,0.4058577405857741
2002-09-05,9.635899322931998,8.2,0.0,9.635899322931998,0.3571505992858577
2002-09-06,9.635899322931998,12.6,0.0,12.6,0.48117154811715485
2002-09-07,9.635899322931998,11.7,0.0,11.7,0.4435146443514645
2002-09-08,9.635593220338984,10.1,0.0,10.1,0.3765690376569038
2002-09-09,9.583050847457628,14.7,0.0,14.7,0.5690376569037656
2002-09-10,9.530508474576273,15.1,0.0,15.1,0.5857740585774058
2002-09-11,9.477966101694914,14.0,0.0,14.0,0.5397489539748954
2002-09-12,9.42542372881356,15.6,0.0,15.6,0.606694560669456
2002-09-13,9.372881355932204,6.4,0.0,9.372881355932204,0.34614566342812575
2002-09-14,9.320338983050847,10.275677710843372,0.0,10.275677710843372,0.38391956949135453
2002-09-15,9.26779661016949,10.275677710843372,0.0,10.275677710843372,0.38391956949135453
2002-09-16,9.215254237288136,10.275677710843372,0.0,10.275677710843372,0.38391956949135453
2002-09-17,9.16271186440678,11.12,0.0,11.12,0.4192468619246862
2002-09-18,9.110169491525424,12.3,0.0,12.3,0.46861924686192474
2002-09-19,9.057627118644069,12.7,0.0,12.7,0.48535564853556484
2002-09-20,9.005084745762712,12.4,0.0,12.4,0.47280334728033485
2002-09-21,8.952542372881355,11.0,0.0,11.0,0.41422594142259417
2002-09-22,8.9,12.5,0.0,12.5,0.47698744769874485
2002-09-23,8.847457627118644,12.6,0.0,12.6,0.48117154811715485
